==========================================
Atan Simulation
==========================================
At                 1050ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 1060ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 1070ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 1080ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 1090ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 1100ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 1110ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 1120ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 1130ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 1140ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 1150ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 1160ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 1170ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 1180ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 1190ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 1200ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 1210ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 1220ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 1230ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 1240ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 1250ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 1260ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 1270ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 1280ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 1290ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 1300ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 1310ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 1320ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 1330ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 1340ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 1350ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 1360ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 1370ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 1380ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 1390ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 1400ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 1410ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 1420ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 1430ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 1440ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 1450ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 1460ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 1470ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 1480ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 1490ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 1500ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 1510ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 1520ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 1530ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 1540ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 1550ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 1560ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 1570ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 1580ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
